Year,Zone,Sex,Age Group,Population,Hypertension Count,Prevalence Rate %
01/01/2007 12:00:00 AM,Unknown,F,70 to 79,1789,1206,67.41
01/01/2007 12:00:00 AM,Unknown,F,80 +,1625,1261,77.6
01/01/2007 12:00:00 AM,Unknown,M,20 to 29,10307,104,1.01
01/01/2007 12:00:00 AM,Unknown,M,30 to 39,7043,338,4.8
01/01/2007 12:00:00 AM,Unknown,M,40 to 49,6294,744,11.82
01/01/2007 12:00:00 AM,Unknown,M,50 to 59,4699,1139,24.24
01/01/2007 12:00:00 AM,Unknown,M,60 to 69,3012,1315,43.66
01/01/2007 12:00:00 AM,Unknown,M,70 to 79,1532,911,59.46
01/01/2007 12:00:00 AM,Unknown,M,80 +,790,502,63.54
01/01/2007 12:00:00 AM,Western,F,20 to 29,9718,208,2.14
01/01/2007 12:00:00 AM,Western,F,30 to 39,11763,864,7.35
01/01/2007 12:00:00 AM,Western,F,40 to 49,16546,2786,16.84
01/01/2007 12:00:00 AM,Western,F,50 to 59,16376,5456,33.32
01/01/2007 12:00:00 AM,Western,F,60 to 69,12446,6672,53.61
01/01/2007 12:00:00 AM,Western,F,70 to 79,8007,5697,71.15
01/01/2007 12:00:00 AM,Western,F,80 +,6600,5167,78.29
01/01/2007 12:00:00 AM,Western,M,20 to 29,9623,162,1.68
01/01/2007 12:00:00 AM,Western,M,30 to 39,11394,752,6.6
01/01/2007 12:00:00 AM,Western,M,40 to 49,15816,2541,16.07
01/01/2007 12:00:00 AM,Western,M,50 to 59,16126,5154,31.96
01/01/2007 12:00:00 AM,Western,M,60 to 69,12183,5898,48.41
01/01/2007 12:00:00 AM,Western,M,70 to 79,7238,4539,62.71
01/01/2007 12:00:00 AM,Western,M,80 +,3972,2722,68.53
01/01/2008 12:00:00 AM,Central,F,20 to 29,26203,365,1.39
01/01/2008 12:00:00 AM,Central,F,30 to 39,28817,1718,5.96
01/01/2008 12:00:00 AM,Central,F,40 to 49,33285,5032,15.12
01/01/2008 12:00:00 AM,Central,F,50 to 59,28893,9099,31.49
01/01/2008 12:00:00 AM,Central,F,60 to 69,19638,10555,53.75
01/01/2008 12:00:00 AM,Central,F,70 to 79,11745,8637,73.54
01/01/2008 12:00:00 AM,Central,F,80 +,9748,7940,81.45
01/01/2008 12:00:00 AM,Central,M,20 to 29,25565,407,1.59
01/01/2008 12:00:00 AM,Central,M,30 to 39,26525,1523,5.74
01/01/2008 12:00:00 AM,Central,M,40 to 49,31537,4693,14.88
01/01/2008 12:00:00 AM,Central,M,50 to 59,27471,8556,31.15
01/01/2008 12:00:00 AM,Central,M,60 to 69,18366,9458,51.5
01/01/2008 12:00:00 AM,Central,M,70 to 79,9999,6936,69.37
01/01/2008 12:00:00 AM,Central,M,80 +,5122,3856,75.28
01/01/2008 12:00:00 AM,Eastern,F,20 to 29,7981,169,2.12
01/01/2008 12:00:00 AM,Eastern,F,30 to 39,9173,818,8.92
01/01/2008 12:00:00 AM,Eastern,F,40 to 49,12470,2623,21.03
01/01/2008 12:00:00 AM,Eastern,F,50 to 59,13766,5325,38.68
01/01/2008 12:00:00 AM,Eastern,F,60 to 69,10501,6352,60.49
01/01/2008 12:00:00 AM,Eastern,F,70 to 79,6649,5102,76.73
01/01/2008 12:00:00 AM,Eastern,F,80 +,5558,4649,83.65
01/01/2008 12:00:00 AM,Eastern,M,20 to 29,8393,158,1.88
01/01/2008 12:00:00 AM,Eastern,M,30 to 39,9036,749,8.29
01/01/2008 12:00:00 AM,Eastern,M,40 to 49,12072,2346,19.43
01/01/2008 12:00:00 AM,Eastern,M,50 to 59,13649,4994,36.59
01/01/2008 12:00:00 AM,Eastern,M,60 to 69,10374,5869,56.57
01/01/2008 12:00:00 AM,Eastern,M,70 to 79,5753,4093,71.15
01/01/2008 12:00:00 AM,Eastern,M,80 +,2944,2226,75.61
01/01/2008 12:00:00 AM,Northern,F,20 to 29,7803,174,2.23
01/01/2008 12:00:00 AM,Northern,F,30 to 39,9507,769,8.09
01/01/2008 12:00:00 AM,Northern,F,40 to 49,11934,2226,18.65
01/01/2008 12:00:00 AM,Northern,F,50 to 59,12053,4400,36.51
01/01/2008 12:00:00 AM,Northern,F,60 to 69,8987,5194,57.79
01/01/2008 12:00:00 AM,Northern,F,70 to 79,5691,4230,74.33
01/01/2008 12:00:00 AM,Northern,F,80 +,4941,4113,83.24
01/01/2008 12:00:00 AM,Northern,M,20 to 29,7789,159,2.04
01/01/2008 12:00:00 AM,Northern,M,30 to 39,9196,695,7.56
01/01/2008 12:00:00 AM,Northern,M,40 to 49,11687,2165,18.52
01/01/2008 12:00:00 AM,Northern,M,50 to 59,12054,4262,35.36
01/01/2008 12:00:00 AM,Northern,M,60 to 69,9026,4958,54.93
01/01/2008 12:00:00 AM,Northern,M,70 to 79,4991,3466,69.45
01/01/2008 12:00:00 AM,Northern,M,80 +,2702,2070,76.61
01/01/2008 12:00:00 AM,Unknown,F,20 to 29,10538,91,0.86
01/01/2008 12:00:00 AM,Unknown,F,30 to 39,7185,337,4.69
01/01/2008 12:00:00 AM,Unknown,F,40 to 49,6253,667,10.67
01/01/2008 12:00:00 AM,Unknown,F,50 to 59,5026,1287,25.61
01/01/2008 12:00:00 AM,Unknown,F,60 to 69,3403,1589,46.69
01/01/2008 12:00:00 AM,Unknown,F,70 to 79,1785,1209,67.73
01/01/2008 12:00:00 AM,Unknown,F,80 +,1611,1271,78.9
01/01/2008 12:00:00 AM,Unknown,M,20 to 29,9815,101,1.03
01/01/2008 12:00:00 AM,Unknown,M,30 to 39,6689,357,5.34
01/01/2008 12:00:00 AM,Unknown,M,40 to 49,6011,730,12.14
01/01/2008 12:00:00 AM,Unknown,M,50 to 59,4587,1119,24.4
01/01/2008 12:00:00 AM,Unknown,M,60 to 69,3098,1358,43.83
01/01/2008 12:00:00 AM,Unknown,M,70 to 79,1539,935,60.75
01/01/2008 12:00:00 AM,Unknown,M,80 +,798,528,66.17
01/01/2008 12:00:00 AM,Western,F,20 to 29,9775,190,1.94
01/01/2008 12:00:00 AM,Western,F,30 to 39,11535,898,7.79
01/01/2008 12:00:00 AM,Western,F,40 to 49,16270,2804,17.23
01/01/2008 12:00:00 AM,Western,F,50 to 59,16629,5552,33.39
01/01/2008 12:00:00 AM,Western,F,60 to 69,13044,7015,53.78
01/01/2008 12:00:00 AM,Western,F,70 to 79,8205,5914,72.08
01/01/2008 12:00:00 AM,Western,F,80 +,6724,5391,80.18
01/01/2008 12:00:00 AM,Western,M,20 to 29,9747,167,1.71
01/01/2008 12:00:00 AM,Western,M,30 to 39,11158,747,6.69
01/01/2008 12:00:00 AM,Western,M,40 to 49,15533,2573,16.56
01/01/2008 12:00:00 AM,Western,M,50 to 59,16298,5245,32.18
01/01/2008 12:00:00 AM,Western,M,60 to 69,12848,6454,50.23
01/01/2008 12:00:00 AM,Western,M,70 to 79,7402,4775,64.51
01/01/2008 12:00:00 AM,Western,M,80 +,4082,2899,71.02
01/01/2009 12:00:00 AM,Central,F,20 to 29,26730,352,1.32
01/01/2009 12:00:00 AM,Central,F,30 to 39,29139,1710,5.87
01/01/2009 12:00:00 AM,Central,F,40 to 49,33293,5114,15.36
01/01/2009 12:00:00 AM,Central,F,50 to 59,29881,9411,31.49
01/01/2009 12:00:00 AM,Central,F,60 to 69,20573,11073,53.82
01/01/2009 12:00:00 AM,Central,F,70 to 79,12001,8930,74.41
01/01/2009 12:00:00 AM,Central,F,80 +,9822,8125,82.72
01/01/2009 12:00:00 AM,Central,M,20 to 29,26401,390,1.48
01/01/2009 12:00:00 AM,Central,M,30 to 39,26872,1556,5.79
01/01/2009 12:00:00 AM,Central,M,40 to 49,31579,4809,15.23
01/01/2009 12:00:00 AM,Central,M,50 to 59,28361,8927,31.48
01/01/2009 12:00:00 AM,Central,M,60 to 69,19318,10136,52.47
01/01/2009 12:00:00 AM,Central,M,70 to 79,10224,7179,70.22
01/01/2009 12:00:00 AM,Central,M,80 +,5318,4119,77.45
01/01/2009 12:00:00 AM,Eastern,F,20 to 29,8065,159,1.97
01/01/2009 12:00:00 AM,Eastern,F,30 to 39,9088,832,9.15
01/01/2009 12:00:00 AM,Eastern,F,40 to 49,12145,2557,21.05
01/01/2009 12:00:00 AM,Eastern,F,50 to 59,13904,5422,39
