Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2017 12:00:00 AM,Western,F,30 to 39,11306,281,2.49
01/01/2017 12:00:00 AM,Western,F,40 to 49,13165,803,6.1
01/01/2017 12:00:00 AM,Western,F,50 to 59,17921,1851,10.33
01/01/2017 12:00:00 AM,Western,F,60 to 69,17310,3121,18.03
01/01/2017 12:00:00 AM,Western,F,70 to 79,11653,2971,25.5
01/01/2017 12:00:00 AM,Western,F,80 +,7745,2208,28.51
01/01/2017 12:00:00 AM,Western,M,20 to 29,11171,116,1.04
01/01/2017 12:00:00 AM,Western,M,30 to 39,10847,262,2.42
01/01/2017 12:00:00 AM,Western,M,40 to 49,12697,813,6.4
01/01/2017 12:00:00 AM,Western,M,50 to 59,17255,2286,13.25
01/01/2017 12:00:00 AM,Western,M,60 to 69,16723,3806,22.76
01/01/2017 12:00:00 AM,Western,M,70 to 79,10927,3541,32.41
01/01/2017 12:00:00 AM,Western,M,80 +,5355,1818,33.95
